no,kode,nama_bahan,url_detail,Jenis pangan,Kode Baru,Kode Lama,Kelompok,Nama Inggris,Abu (Ash),Air (Water),"Besi (Fe), Ferrum, Iron",β-Karoten (Carotenes),Energi (Energy),"Fosfor (P), Phosphorus","Kalium (K), Potassium","Kalsium (Ca), Calcium",Karbohidrat (CHO),Karoten total (Re),Lemak (Fat),"Natrium (Na), Sodium","Niasin, C6H5NO2, Niacin",Protein,"Retinol (vit A), C20H30O",Riboflavin (vitamin B2),"Seng (Zn), Zinc",Serat (Fiber),"Tembaga (Cu), Copper",Tiamina (vitamin B1),Vitamin C,Spesies,Genus,Familia
785,CR050,"Nangka, biji, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=CR050#AndraFarm,Tunggal,CR050,-,Kacang,"Jackfruit, seeds, fresh",1.3,57.7,1.0,,165.0,200.0,179.0,33.0,36.7,,0.1,69.0,1.4,4.2,,0.03,0.2,1.8,0.12,0.2,10.0,Artocarpus heterophyllus Lam.,Artocarous,Moraceae
786,AP001,Nasi,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP001#AndraFarm,Olahan,AP001,-,Serealia,Rice,0.2,56.7,0.4,,180.0,27.0,38.0,25.0,39.8,,0.3,1.0,2.6,3.0,,0.1,0.6,0.2,0.1,0.05,,,,
787,AP005,Nasi beras merah,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP005#AndraFarm,Olahan,AP005,-,Serealia,Brown rice,0.3,64.0,0.8,,149.0,63.0,91.4,6.0,32.5,,0.4,5.0,1.6,2.8,,,0.9,0.3,0.2,0.06,,,,
788,AP089,Nasi gemuk,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP089#AndraFarm,Olahan,AP089,-,Serealia,Fat rice,1.6,61.4,1.0,,192.0,74.0,63.0,15.0,24.4,,8.8,355.0,2.0,3.8,,0.05,1.4,0.7,0.2,0.19,,,,
789,AP090,Nasi gurih,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP090#AndraFarm,Olahan,AP090,-,Serealia,Savory rice,1.3,60.5,0.8,,190.0,62.0,52.0,12.0,26.0,,7.5,296.0,2.1,4.7,,0.06,1.2,0.7,0.2,0.11,,,,
790,AP009,Nasi jagung,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP009#AndraFarm,Olahan,AP009,-,Serealia,Corn rice,0.3,11.0,0.6,,357.0,43.0,30.4,5.0,79.5,,0.5,2.0,0.1,8.8,,0.02,0.3,6.2,0.1,0.3,0.0,,,
791,AP091,Nasi minyak,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP091#AndraFarm,Olahan,AP091,-,Serealia,Oil rice,1.1,53.3,1.5,,207.0,100.0,174.0,26.0,37.1,,5.0,74.0,2.6,3.5,,0.07,2.2,0.8,0.2,0.14,,,,
792,AP092,Nasi rames,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP092#AndraFarm,Olahan,AP092,-,Serealia,Rames rice,0.6,65.8,1.8,,155.0,62.0,,239.0,19.1,3140.0,4.2,265.0,,10.3,96.0,,,,,0.59,,,,
793,AP002,Nasi tim,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP002#AndraFarm,Olahan,AP002,-,Serealia,Tim Rice,0.2,71.0,0.4,,120.0,7.0,23.9,3.0,26.0,,0.4,,1.4,2.4,,,0.4,0.5,0.1,0.1,,,,
794,FP057,"Nasu likku, masakan",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FP057#AndraFarm,Olahan,FP057,-,Daging,"Nasu likku, cooking",2.3,59.0,1.0,,196.0,157.0,470.0,69.0,15.9,,8.3,386.0,1.5,14.5,,0.24,2.0,,0.3,0.2,,,,
795,AP093,Nopia spesial,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP093#AndraFarm,Olahan,AP093,-,Serealia,Nopia special,1.3,11.5,4.2,,387.0,133.0,,903.0,74.3,512.0,7.6,,,5.3,,,,0.3,,0.17,,,,
796,DP042,Olah-olah,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DP042#AndraFarm,Olahan,DP042,-,Sayur,Olah-olah,0.9,83.9,1.2,36.0,9.0,3.0,266.0,26.0,7.1,,6.0,289.0,0.4,2.1,,0.1,0.6,4.4,0.3,0.2,,,,
